treatment,biorep,time,mean.conc.nM,sd.conc.nM,mean.live.C.ug.L,sd.live.C.ug.L,mean.live.C.fg.mL,sd.live.C.fg.mL
C,A,0,2.175427527373582,0.06023602001861065,275.8333333333333,7.637626158259733,275833333.3333333,7637626.158259734
C,A,12,8.090487269476977,0.14929369837928003,1025.8333333333335,18.929694486000887,1025833333.3333334,18929694.486000884
C,A,24,7.387252389026907,0.13988325416218286,936.6666666666666,17.73649721149397,936666666.6666666,17736497.21149397
C,A,36,13.072282030048504,0.444395586166041,1657.5,56.34713834792323,1657500000,56347138.34792323
C,A,48,13.611209695440147,0.9789842491878201,1725.8333333333333,124.13030787576955,1725833333.3333333,124130307.87576954
C,B,0,2.5894817093208196,0.1188476235920524,328.3333333333333,15.069284433354271,328333333.3333333,15069284.433354272
C,B,12,8.635987223470956,0.7249803348259098,1095,91.92388155425118,1095000000,91923881.55425118
C,B,24,8.905451056166779,0.4549144282942863,1129.1666666666667,57.68087493557404,1129166666.6666667,57680874.93557404
C,B,36,16.535878123480156,2.0946637502747345,2096.6666666666665,265.5928902160849,2096666666.6666665,265592890.21608496
C,B,48,12.999986855422796,0.8800733725421922,1648.3333333333333,111.58890327148723,1648333333.3333333,111588903.27148724
C,C,0,3.33872260998725,0.30182479601469664,423.3333333333333,38.26987501068344,423333333.3333333,38269875.01068345
C,C,12,9.155198023055588,0.3473378356592355,1160.8333333333333,44.04070087241271,1160833333.3333333,44040700.872412704
C,C,24,7.834168013985829,0.2684198622009557,993.3333333333333,34.03429642777021,993333333.3333333,34034296.42777021
C,C,36,14.912522838702895,1.1856925958251314,1890.8333333333335,150.3398926876475,1890833333.3333335,150339892.6876475
C,C,48,16.39786006283108,1.025340215099844,2079.1666666666665,130.0080125735846,2079166666.6666667,130008012.57358462
HV,A,0,2.9049515622330007,0.09726098943799547,368.3333333333333,12.332207155790618,368333333.3333333,12332207.15579062
HV,A,12,6.624866911155802,0.08594382553611452,840,10.897247358851684,840000000,10897247.358851684
HV,A,24,2.74721663577691,0.1085920294034881,348.3333333333333,13.768926368215256,348333333.3333333,13768926.368215255
HV,A,36,2.037409466724503,0.25428897199091843,258.3333333333333,32.24257020358851,258333333.33333334,32242570.203588508
HV,A,48,2.1951443931805934,0.10859202940348792,278.3333333333333,13.768926368215256,278333333.3333333,13768926.368215255
HV,B,0,3.062686488689091,0.09317827253149984,388.3333333333333,11.814539065631521,388333333.3333333,11814539.06563152
HV,B,12,6.782601837611893,0.5635713524964098,860,71.45802963978225,860000000,71458029.63978226
HV,B,24,3.1021202203031137,0.14533528127749507,393.3333333333333,18.427786989579985,393333333.3333333,18427786.989579983
HV,B,36,2.609198575127831,0.09923938161692446,330.8333333333333,12.583057392117917,330833333.3333333,12583057.392117916
HV,B,48,2.7307859142710673,0.1533612246747115,346.25,19.445436482630058,346250000,19445436.482630055
HV,C,0,3.351867187191924,0.37617382444770925,425,47.69696007084728,425000000,47696960.07084728
HV,C,12,8.550547471640574,0.18320070277174888,1084.1666666666667,23.228933107943924,1084166666.6666667,23228933.107943922
HV,C,24,3.3847286302036093,0.20710531772531432,429.1666666666667,26.25991876098122,429166666.6666667,26259918.760981217
HV,C,36,1.9585420034964576,0.32056333447052854,248.33333333333334,40.64582799419066,248333333.33333334,40645827.99419066
HV,C,48,1.2750239888533985,0.06338085598139351,161.66666666666666,8.036375634160796,161666666.66666666,8036375.634160796
LV,A,0,2.431746782864729,0.1593695289375518,308.3333333333333,20.207259421636902,308333333.3333333,20207259.4216369
LV,A,12,7.709294530541425,0.43911545114791734,977.5,55.67764362830022,977500000,55677643.62830022
LV,A,24,6.914047609658636,0.1479859911562985,876.6666666666666,18.76388374866284,876666666.6666666,18763883.748662837
LV,A,36,14.347306018901902,1.6491992440288274,1819.1666666666667,209.11021814663513,1819166666.6666667,209110218.14663514
LV,A,48,5.599589889191214,0.838140751087672,710,106.27205653416142,710000000,106272056.53416142
LV,B,0,2.872090119221315,0.14263531957234593,364.1666666666667,18.085445345175586,364166666.6666667,18085445.345175587
LV,B,12,9.10919200283923,0.5156629532166896,1155,65.3834841531101,1155000000,65383484.1531101
LV,B,24,10.075318427382783,0.7453392551534287,1277.5,94.50529085717899,1277500000,94505290.857179
LV,B,36,14.787649355258488,0.693181743414446,1875,87.89197915623473,1875000000,87891979.15623473
LV,B,48,6.887758455249287,0.3915341301209694,873.3333333333334,49.64457002868827,873333333.3333334,49644570.02868827
LV,C,0,3.7330599261274764,0.5961975089015921,473.3333333333333,75.59486314117734,473333333.3333333,75594863.14117734
LV,C,12,9.122336580043903,0.29067056255499013,1156.6666666666667,36.85557397915997,1156666666.6666667,36855573.979159966
LV,C,24,7.7421559735531105,0.2625627240222165,981.6666666666666,33.291640592396966,981666666.6666666,33291640.592396967
LV,C,36,12.960553123808772,1.4521486167832802,1643.3333333333333,184.12518386503606,1643333333.3333333,184125183.86503604
LV,C,48,7.755300550757784,0.6113288354816032,983.3333333333333,77.51343969488987,983333333.3333333,77513439.69488987
