Treatment,Time,Rep,Mean_Particulate_ATP_Conc_nM,SD_Particulate_ATP_Conc_nM,Mean_ATP_Estimated_Living_Biomass_fg_mL,SD_ATP_Estimated_Living_Biomass_fg_mL
C,0,A,2.175427527373582,0.06023602001861065,275833333.3333333,7637626.158259734
C,12,A,8.090487269476977,0.14929369837928003,1025833333.3333334,18929694.486000884
C,24,A,7.387252389026907,0.13988325416218286,936666666.6666666,17736497.21149397
C,36,A,13.072282030048504,0.444395586166041,1657500000,56347138.34792323
C,48,A,13.611209695440147,0.9789842491878201,1725833333.3333333,124130307.87576954
C,0,B,2.5894817093208196,0.1188476235920524,328333333.3333333,15069284.433354272
C,12,B,8.635987223470956,0.7249803348259098,1095000000,91923881.55425118
C,24,B,8.905451056166779,0.4549144282942863,1129166666.6666667,57680874.93557404
C,36,B,16.535878123480156,2.0946637502747345,2096666666.6666665,265592890.21608496
C,48,B,12.999986855422796,0.8800733725421922,1648333333.3333333,111588903.27148724
C,0,C,3.33872260998725,0.30182479601469664,423333333.3333333,38269875.01068345
C,12,C,9.155198023055588,0.3473378356592355,1160833333.3333333,44040700.872412704
C,24,C,7.834168013985829,0.2684198622009557,993333333.3333333,34034296.42777021
C,36,C,14.912522838702895,1.1856925958251314,1890833333.3333335,150339892.6876475
C,48,C,16.39786006283108,1.025340215099844,2079166666.6666667,130008012.57358462
HV,0,A,2.9049515622330007,0.09726098943799547,368333333.3333333,12332207.15579062
HV,12,A,6.624866911155802,0.08594382553611452,840000000,10897247.358851684
HV,24,A,2.74721663577691,0.1085920294034881,348333333.3333333,13768926.368215255
HV,36,A,2.037409466724503,0.25428897199091843,258333333.33333334,32242570.203588508
HV,48,A,2.1951443931805934,0.10859202940348792,278333333.3333333,13768926.368215255
HV,0,B,3.062686488689091,0.09317827253149984,388333333.3333333,11814539.06563152
HV,12,B,6.782601837611893,0.5635713524964098,860000000,71458029.63978226
HV,24,B,3.1021202203031137,0.14533528127749507,393333333.3333333,18427786.989579983
HV,36,B,2.609198575127831,0.09923938161692446,330833333.3333333,12583057.392117916
HV,48,B,2.7307859142710673,0.1533612246747115,346250000,19445436.482630055
HV,0,C,3.351867187191924,0.37617382444770925,425000000,47696960.07084728
HV,12,C,8.550547471640574,0.18320070277174888,1084166666.6666667,23228933.107943922
HV,24,C,3.3847286302036093,0.20710531772531432,429166666.6666667,26259918.760981217
HV,36,C,1.9585420034964576,0.32056333447052854,248333333.33333334,40645827.99419066
HV,48,C,1.2750239888533985,0.06338085598139351,161666666.66666666,8036375.634160796
LV,0,A,2.431746782864729,0.1593695289375518,308333333.3333333,20207259.4216369
LV,12,A,7.709294530541425,0.43911545114791734,977500000,55677643.62830022
LV,24,A,6.914047609658636,0.1479859911562985,876666666.6666666,18763883.748662837
LV,36,A,14.347306018901902,1.6491992440288274,1819166666.6666667,209110218.14663514
LV,48,A,5.599589889191214,0.838140751087672,710000000,106272056.53416142
LV,0,B,2.872090119221315,0.14263531957234593,364166666.6666667,18085445.345175587
LV,12,B,9.10919200283923,0.5156629532166896,1155000000,65383484.1531101
LV,24,B,10.075318427382783,0.7453392551534287,1277500000,94505290.857179
LV,36,B,14.787649355258488,0.693181743414446,1875000000,87891979.15623473
LV,48,B,6.887758455249287,0.3915341301209694,873333333.3333334,49644570.02868827
LV,0,C,3.7330599261274764,0.5961975089015921,473333333.3333333,75594863.14117734
LV,12,C,9.122336580043903,0.29067056255499013,1156666666.6666667,36855573.979159966
LV,24,C,7.7421559735531105,0.2625627240222165,981666666.6666666,33291640.592396967
LV,36,C,12.960553123808772,1.4521486167832802,1643333333.3333333,184125183.86503604
LV,48,C,7.755300550757784,0.6113288354816032,983333333.3333333,77513439.69488987
